sampleID	CDNA	detected_genes	detected_spikes	read_pairs	pct_trim_Illum	pct_trim_Nex	pct_trim_Smart	per_base_quality_read1	per_base_quality_read2	per_seq_GC_read1	per_seq_GC_read2	paired_total	pct_alignment	paired_aligned_multi	paired_aligned_none	pct_duplication	pct_assigned	assigned	unassigned_ambiguity	unassigned_unmapped	unassigned_multimapping	unassigned_nofeatures	pct_assigned_dedup	assigned_dedup	unassigned_duplicate_dedup	pct_ambiguity	pct_multimapping	pct_nofeatures	top500tpm	batchvar	library_type	QCpass
WTCHG_168020_704504	20141208_C75	0.48	4331	44	2364215	6.26161326275	39.2465535727	12.9765249456	pass	pass	pass	pass	2358035	90.57	427530	330696	0.420171	56.8478561078	1502540	19854	153417	435615	531664	24.2731045859	641560	1039373	0.00841972235356982	0.184736443691463	0.225469087608963	98.6776638119003	p5	single cell	FALSE
WTCHG_168020_704505	20141208_C23	0.65	4659	41	2184051	5.38737419593	36.6865329734	11.9623973415	pass	pass	pass	pass	2180165	92.97	383046	237863	0.331873	64.2954104402	1574394	48230	102523	406990	316551	37.3105516097	913619	758402	0.0221221788259146	0.186678531212087	0.14519589113668	91.4333092577506	p5	single cell	TRUE
WTCHG_168020_704506	20141211_C08	0.21	4823	44	2750314	4.68135638331	38.7206454685	13.1158903004	pass	pass	pass	pass	2744259	91.38	442666	356285	0.325708	43.0470684796	1329024	13487	161300	487605	1095958	17.9595993229	554480	952151	0.00491462358326965	0.177681844169956	0.399363908435756	97.2531801573074	p6	single cell	FALSE
WTCHG_168020_704507	20141211_C69	0.55	4504	43	616790	7.04842815221	27.2342776365	10.0374822829	pass	pass	fail	warn	615224	90.74	86502	78655	0.112064	31.1827084431	203663	2998	42391	54438	349638	21.6052596122	141110	71100	0.00487302185870512	0.0884848445444261	0.568310078930601	92.9072137131428	p6	single cell	FALSE
WTCHG_168020_704508	20141211_C71	0.37	4150	45	2353752	3.66121834416	33.3895295627	9.86614398635	pass	pass	pass	pass	2350959	93.93	329348	230841	0.253071	39.8015652623	978217	8546	87842	158873	1224257	17.7535006825	436334	604632	0.00363511230948732	0.0675779543582002	0.520747916063189	91.9744365969554	p6	single cell	TRUE
WTCHG_168020_704517	20141119_C37	0.72	5208	38	1713641	4.84739802561	32.6510462158	10.2300518401	pass	pass	pass	pass	1711223	94.05	319424	167903	0.150429	67.9997244379	1293061	65677	60416	297190	185224	55.2016546345	1049697	293816	0.0383801526744323	0.173671111246167	0.10824071438965	77.8851590554778	p4	single cell	TRUE
WTCHG_168020_705502	20141119_C06	0.8	5420	43	2318438	7.75349610384	36.0985817915	11.7201882483	pass	pass	pass	pass	2311840	90.12	324643	323553	0.249246	53.2742062506	1320463	41255	167595	239680	709623	32.5807628128	807552	582194	0.0178450930860267	0.103674994809329	0.30695160564745	80.4820396990503	p4	single cell	TRUE
WTCHG_168020_705503	20141119_C60	0.61	4443	38	1880004	5.05631902911	32.9413187073	11.8827559273	pass	pass	pass	pass	1876871	93.28	340587	197248	0.160115	53.0604413887	1144952	55311	81493	406745	469325	40.9196570993	882975	355676	0.0294697930758161	0.216714414576175	0.250057142978926	83.9162875495068	p4	single cell	TRUE
WTCHG_168020_705504	20141208_C50	0.51	4594	45	2567515	5.77870041655	40.0897266847	13.8301732121	pass	pass	pass	pass	2560503	89.6	389469	390118	0.340569	48.3457299802	1337342	13454	184735	299536	931138	21.0640932252	582676	870659	0.00525443633536067	0.116983264616366	0.363654328856479	96.7936633431704	p5	single cell	FALSE
WTCHG_168020_705505	20141208_C04	0.66	5493	45	2613896	5.76335095199	39.5886080679	12.0657315158	pass	pass	pass	pass	2608064	91.77	476352	323082	0.360494	50.7551529945	1518347	32497	149174	572804	718691	24.2397408937	725135	1013849	0.0124602003631813	0.219628045937523	0.275564940124169	96.5552125301444	p5	single cell	TRUE
